Manufacturer,Model,PR,Top Speed,Acceleration,Braking,Grip,Class,Type,Series,Price,Service Time,Service Cost,Is Available,Has Exclusive Events,In Main Career,In Season 1,In Season 2,In Season 3
Aston Martin,Vantage GT3,51.8,317,3.30,29.6,1.23,P,FR,3,571500 R$,190,1462,Yes,No,Yes,No,No,No
Aston Martin,One-77,53.9,354,3.50,29.3,1.25,S,FR,3,600 Gold,180,1480,Yes,Yes,No,No,No,Yes
Aston Martin,Vantage GTE (2019),63.6,262,3.50,25.6,1.67,R,FR,1,1950000 M$,180,0,Yes,No,No,No,No,No
Aston Martin,Vulcan,70.8,346,2.90,26.8,1.53,S,FR,4,800 Gold,120,1665,Yes,Yes,No,No,No,No
Aston Martin,V12 Vantage (2022),42.0,322,3.50,33.5,1.08,S,FR,2,600 Gold,180,1700,Yes,Yes,No,No,Yes,No
Aston Martin,V8 Vantage GT2,57.0,282,3.54,30.5,1.57,R,FR,1,1900000 M$,180,0,Yes,No,No,Yes,No,Yes
Aston Martin,V12 Speedster,45.3,319,3.40,31.4,1.10,P,FR,2,700 Gold,180,1760,Yes,Yes,No,No,Yes,No
Aston Martin,Valour,53.9,333,3.20,27.1,1.15,S,FR,2,600 Gold,180,1867,Yes,Yes,No,No,No,No
Aston Martin,Vantage GT4,48.6,269,4.00,30.8,1.50,R,FR,1,1000000 M$,180,0,Yes,No,No,No,No,No
Aston Martin,DBR1-2,73.4,298,2.95,26.2,1.73,R,MR,1,2300000 M$,180,0,Yes,No,No,No,No,No
Aston Martin,Vantage GTE (2012),72.2,332,2.60,27.4,1.53,P,FR,1,600 Gold,120,1985,Yes,No,No,No,No,No
Aston Martin,Vantage GTE (2017),78.2,319,2.89,25.3,1.78,R,FR,2,650 Gold,180,1990,Yes,Yes,No,No,No,No
Aston Martin,Vantage GTE (2018),79.1,319,2.85,25.0,1.78,R,FR,1,680 Gold,180,1997,Yes,No,No,No,No,No
Aston Martin,Vulcan AMR Pro,75.2,346,2.70,26.8,1.60,S,FR,2,825 Gold,120,1997,Yes,Yes,No,No,No,Yes
Aston Martin,Valkyrie,95.5,367,2.60,21.3,2.53,S,MR,2,1150 Gold,180,2090,Yes,Yes,No,Yes,No,Yes
Aston Martin,Valhalla Concept,92.0,349,2.42,22.9,2.40,S,MR,2,1150 Gold,180,2090,Yes,Yes,No,Yes,No,Yes
Audi,TT RS Coupe (2012),18.8,249,4.10,36.9,0.89,P,F4,4,56850 R$,40,627,Yes,No,Yes,No,No,No
Audi,R8 V10 Coupe,44.6,315,3.90,29.9,1.20,S,M4,3,187300 R$,120,1060,Yes,No,Yes,No,No,No
Audi,R8 LMS Ultra,50.5,315,3.50,30.8,1.30,R,MR,6,366300 R$,160,1302,Yes,Yes,Yes,No,No,No
Audi,TT RS Coupe (2019),40.0,280,3.40,30.5,1.01,P,F4,2,340 Gold,180,1332,Yes,Yes,No,No,No,No
Audi,Quattro B2,3.5,222,6.90,40.8,0.95,R,F4,1,225 Gold,180,1332,Yes,No,No,Yes,No,No
Audi,R8 V10 Spyder,48.7,317,3.50,29.9,1.20,S,M4,4,250 Gold,170,1347,Yes,No,Yes,No,No,No
Audi,RS 5 Coupé,33.3,280,3.77,32.6,0.98,P,M4,2,400 Gold,180,1377,Yes,Yes,No,Yes,Yes,No
Audi,RS 3,31.4,249,3.67,32.0,0.95,P,F4,1,350 Gold,180,1480,Yes,No,No,Yes,No,No
Audi,E-Tron GT Concept,42.9,249,3.20,30.5,1.10,S,M4,2,600 Gold,180,1665,Yes,Yes,No,No,Yes,No
Audi,R8 (2021),61.8,330,3.00,29.6,1.40,P,M4,2,750 Gold,180,1812,Yes,No,No,Yes,No,No
Audi,R8 LMS GT4,48.6,267,4.10,30.2,1.52,R,MR,1,1000000 M$,180,0,Yes,No,No,No,No,No
Audi,R15 TDI,73.4,290,2.90,26.5,1.74,R,MR,1,2300000 M$,180,0,Yes,No,No,No,No,No
Audi,R18 E-Tron Quattro (2015),90.6,378,2.61,25.6,2.10,R,MR(RHD),3,950 Gold,180,1997,Yes,Yes,Yes,No,No,Yes
Audi,R18 E-Tron Quattro (2014),89.9,377,2.57,25.6,1.90,R,M4(RHD),2,4000000 R$,320,2165,Yes,No,Yes,No,No,No
Automobili Pininfarina,Battista with Furiosa,82.6,349,1.63,28.9,1.60,S,M4,1,1000 Gold,180,2062,Yes,No,No,No,No,No
Automobili Pininfarina,Battista Edizione Nino Farina,80.2,349,1.79,28.9,1.52,S,M4,2,1000 Gold,180,2062,Yes,Yes,No,No,No,No
Bentley,Continental GT Speed (2013),34.8,330,4.00,30.8,0.93,S,F4,3,240000 R$,135,1150,Yes,No,Yes,No,No,No
Bentley,Continental Supersports,37.4,328,3.70,31.7,0.94,S,F4,2,267000 R$,140,1187,Yes,No,Yes,No,No,No
Bentley,Continental GT3,65.4,282,3.07,30.5,1.70,R,RR,2,1300000 M$,180,0,Yes,Yes,No,Yes,No,No
Bentley,Continental GT Speed (2021),70.9,335,3.50,28.6,1.80,S,F4,3,750 Gold,180,1942,Yes,Yes,No,Yes,No,No
BMW,1 Series M Coupe,18.2,249,4.90,32.0,0.98,P,FR,3,59800 R$,45,647,Yes,No,Yes,No,No,No
BMW,Z4 M Coupe,12.4,249,5.00,36.6,0.90,P,FR,4,62900 R$,45,665,Yes,No,Yes,No,No,No
BMW,M3 Coupe,21.4,249,4.60,33.5,0.95,P,FR,3,84600 R$,65,772,Yes,No,Yes,No,Yes,No
BMW,Z4 SDrive35is,19.3,249,4.80,32.3,0.96,P,FR,2,89700 R$,70,792,Yes,No,Yes,No,No,No
BMW,M3 GTS,28.9,306,4.40,32.0,0.90,P,FR,4,118700 R$,90,895,Yes,Yes,Yes,No,No,No
BMW,M6 Coupe,30.4,306,4.20,32.0,0.98,P,FR,4,127700 R$,95,920,Yes,No,Yes,Yes,No,No
BMW,3.0 CSL,3.5,249,6.50,32.0,0.95,R,FR,1,160 Gold,120,1230,Yes,No,No,No,No,No
BMW,M1,19.9,261,5.60,30.5,1.15,S,RR,2,200 Gold,165,1332,Yes,Yes,No,No,No,No
BMW,M3 (E30),3.6,241,6.50,39.6,0.91,P,FR,2,250 Gold,165,1332,Yes,Yes,No,Yes,No,No
BMW,Z4 M40i,30.3,249,5.10,32.7,1.00,P,FR,1,200 Gold,165,1332,Yes,No,No,No,No,Yes
BMW,Z4 GT3,50.3,290,3.20,29.9,1.24,R,FR,3,457000 R$,175,1382,Yes,No,Yes,No,No,No
BMW,M2 Competition,28.2,280,4.25,34.1,1.02,P,FR,3,300 Gold,180,1415,Yes,No,No,Yes,No,No
BMW,M4,33.0,249,4.06,31.1,1.10,P,FR,3,375 Gold,180,1510,Yes,No,No,Yes,Yes,No
BMW,M3 GT2 ALMS,60.0,307,3.20,30.5,1.50,R,FR,4,654000 R$,200,1512,Yes,No,Yes,No,No,No
BMW,M5,48.6,304,3.00,29.6,1.06,P,F4,3,375 Gold,180,1560,Yes,Yes,No,Yes,No,No
BMW,M3 GTR Street,46.5,249,3.60,28.6,1.30,P,FR,2,520 Gold,215,1605,Yes,Yes,No,No,Yes,No
BMW,M4 GT3,66.9,277,3.10,29.3,1.71,R,RR,1,1325000 M$,180,0,Yes,No,No,Yes,Yes,No
BMW,3.0 CSL Hommage R,50.5,306,3.50,29.0,1.26,S,FR,1,550 Gold,150,1812,Yes,No,No,No,No,No
BMW,M4 GT4,48.7,274,4.02,30.5,1.49,R,FR,1,1000000 M$,180,0,Yes,No,No,Yes,No,No
BMW,M8 GTE,78.3,303,2.77,25.9,1.80,R,FR,1,680 Gold,180,1990,Yes,No,No,No,No,No
BMW,Driving Experience M4 Racing,64.0,285,2.60,31.4,1.50,R,FR,2,1250000 M$,180,0,Yes,No,No,No,No,No
BMW,M6 GT3,65.2,274,3.10,29.0,1.66,R,FR,1,750 Gold,180,1990,Yes,No,No,No,No,Yes
BMW,M Hybrid V8,84.2,332,2.70,22.6,1.80,R,RR,2,2650000 M$,180,0,Yes,No,No,No,No,Yes
Brabham,BT62,68.9,319,2.88,27.4,1.55,R,MR,3,800 Gold,180,1997,Yes,Yes,No,Yes,No,Yes
Bugatti,EB 110 Super Sport,34.7,343,4.40,34.1,1.11,S,M4,2,410 Gold,180,1415,Yes,No,No,No,Yes,Yes
Bugatti,Veyron 16.4,69.5,407,2.70,31.4,1.40,S,M4,3,1650000 R$,260,1845,Yes,Yes,Yes,No,No,No
Bugatti,Veyron 16.4 Grand Sport Vitesse,71.8,410,2.60,30.5,1.40,S,M4,3,750 Gold,285,1997,Yes,Yes,Yes,No,No,No
Bugatti,Chiron,77.2,420,2.40,31.4,1.50,S,M4,2,750 Gold,180,1997,Yes,Yes,No,No,No,Yes
Bugatti,Divo,77.9,380,2.32,31.1,1.60,S,M4,3,850 Gold,180,1997,Yes,Yes,No,Yes,No,Yes
Bugatti,Centodieci,78.2,380,2.32,30.8,1.60,S,M4,1,900 Gold,180,1997,Yes,Yes,No,No,No,No
Bugatti,Chiron Sport,80.6,420,2.40,29.9,1.60,S,M4,4,950 Gold,180,2062,Yes,Yes,No,Yes,No,No
Bugatti,La Voiture Noire,82.3,420,2.35,31.7,1.65,S,M4,2,1000 Gold,180,2062,Yes,Yes,No,Yes,Yes,No
Bugatti,Bolide,96.0,500,2.10,29.0,2.25,S,M4,2,1150 Gold,180,2090,Yes,Yes,No,Yes,Yes,No
Cadillac,CT5-V Blackwing,41.7,330,3.60,34.1,1.10,P,FR,4,525 Gold,180,1700,Yes,Yes,No,Yes,Yes,No
Cadillac,DPI-V.R,78.5,325,2.76,26.2,1.75,R,MR,2,850 Gold,180,1997,Yes,No,No,No,No,No
Caterham,Seven 620 R,49.1,249,2.70,32.0,1.18,S,FR(RHD),2,378500 R$,165,1312,Yes,No,Yes,No,No,No
Chevrolet,Cobalt SS,3.8,257,5.70,36.0,0.89,P,FF,1,33590 R$,5,437,Yes,No,No,No,No,No
Chevrolet,Camaro ZL1 (2013),26.2,290,4.00,38.4,1.00,S,FR,3,61350 R$,45,655,Yes,No,No,No,No,No
Chevrolet,Corvette Stingray Z51,38.4,306,3.70,32.6,1.05,R,FR,5,300 Gold,95,940,Yes,No,No,Yes,No,No
Chevrolet,Corvette ZR1,43.8,330,3.40,31.4,1.05,S,FR,3,50 Gold,100,947,Yes,No,No,No,No,No
Chevrolet,SS (NASCAR Academy),25.6,283,4.10,34.7,0.90,R,FR,1,200000 R$,10,397,No,No,No,No,No,No
Chevrolet,Camaro SS (2017),27.5,290,4.30,35.7,1.03,P,FR,1,200 Gold,120,1082,Yes,No,No,No,No,No
Chevrolet,Camaro SS (1967),3.4,225,6.00,47.5,0.77,P,FR,1,55 Gold,120,1125,Yes,No,No,No,No,No
Chevrolet,Stingray 427 (1969),11.0,274,4.70,39.6,0.80,R,FR,2,150 Gold,180,1415,Yes,No,Yes,No,No,No
Chevrolet,Corvette Grand Sport,16.1,286,5.80,28.3,0.98,R,FR,3,1150000 M$,180,0,Yes,Yes,No,No,No,No
Chevrolet,Camaro Z/28 (Racing),21.9,298,5.35,32.0,1.08,R,FR,1,1150000 M$,180,0,Yes,No,No,No,Yes,No
Chevrolet,Corvette C8.R (2020),63.5,257,3.60,25.3,1.66,R,MR,1,1950000 M$,180,0,Yes,No,No,No,No,No
Chevrolet,Corvette C6.R GT2,57.0,274,3.80,27.7,1.60,R,FR,2,450 Gold,180,1585,Yes,Yes,No,Yes,No,No
Chevrolet,Corvette Stingray C8,45.8,296,2.80,33.2,1.03,S,MR,3,450 Gold,180,1665,Yes,Yes,No,Yes,No,No
Chevrolet,Corvette C7 ZR1,49.4,346,3.20,34.7,1.18,S,FR,3,550 Gold,180,1760,Yes,Yes,No,Yes,No,Yes
Chevrolet,Camaro ZL1 1LE,50.4,311,3.40,27.7,1.18,S,FR,2,550 Gold,180,1760,Yes,Yes,No,Yes,No,No
Chevrolet,Corvette C8 Z06,60.0,315,2.60,28.3,1.22,S,MR,3,600 Gold,180,1772,Yes,Yes,No,Yes,No,No
Chevrolet,SS (Hendrick Motorsports - 2015),44.1,317,3.61,30.8,1.12,S,FR,1,500 Gold,180,1560,No,No,No,No,No,No
Chevrolet,SS (Stewart-Haas Racing - 2015),44.1,317,3.59,31.1,1.12,S,FR,1,500 Gold,180,1560,No,No,No,No,No,No
Chevrolet,SS (Stewart-Haas Racing - 2016),44.2,317,3.59,30.2,1.10,S,FR,1,500 Gold,180,1560,No,No,No,No,No,No
Chevrolet,SS (Hendrick Motorsports - 2016),44.2,319,3.55,30.5,1.09,S,FR,1,500 Gold,180,1560,No,No,No,No,No,No
Chevrolet,SS (Hendrick Motorsports - 2017),43.5,320,3.50,30.4,1.05,S,FR,1,500 Gold,180,1560,No,No,No,No,No,No
Chevrolet,Camaro ZL1 (2018),43.8,325,3.50,30.2,1.04,R,FR,1,500 Gold,180,1560,No,No,No,No,No,No
Chevrolet,Camaro ZL1 (2019),45.7,325,3.50,29.9,1.09,R,FR,2,500 Gold,180,1560,No,No,No,No,No,No
Chevrolet,Camaro ZL1 1LE (Hendrick Motorsports - 2020),43.8,296,3.47,29.9,1.09,R,FR,1,2150000 M$,180,0,No,No,No,No,No,No
Chevrolet,Camaro ZL1 1LE (Chip Ganassi Racing - 2020),43.8,295,3.45,29.6,1.08,R,FR,1,2150000 M$,180,0,No,No,No,No,No,No
Chevrolet,Camaro ZL1 1LE (Richard Childress Racing - 2020),43.8,293,3.44,29.9,1.09,R,FR,1,2150000 M$,180,0,No,No,No,No,No,No
Chevrolet,Camaro ZL1 1LE (Richard Petty Motorsports - 2020),43.8,293,3.47,29.6,1.09,R,FR,1,2150000 M$,180,0,No,No,No,No,No,No
Chevrolet,Camaro ZL1 1LE (Hendrick Motorsports - 2021),45.4,299,3.44,29.3,1.10,R,FR,1,2150000 M$,180,0,No,No,No,No,No,No
Chevrolet,Camaro ZL1 1LE (Chip Ganassi Racing - 2021),45.4,298,3.42,29.0,1.10,R,FR,1,2150000 M$,180,0,No,No,No,No,No,No
Chevrolet,Camaro ZL1 1LE (Richard Childress Racing - 2021),45.4,296,3.41,29.3,1.11,R,FR,1,2150000 M$,180,0,No,No,No,No,No,No
Chevrolet,Camaro ZL1 1LE (Richard Petty Motorsports - 2021),45.4,296,3.44,29.0,1.11,R,FR,1,2150000 M$,180,0,No,No,No,No,No,No
Chevrolet,Camaro ZL1 (2022),45.3,290,3.42,29.0,1.09,R,FR,1,2150000 M$,180,0,No,No,No,No,Yes,No
Chevrolet,Camaro ZL1 (2023),46.7,293,3.32,28.6,1.11,R,FR,1,2150000 M$,180,0,No,No,No,No,No,Yes
Chevrolet,Camaro GT4.R,48.7,264,4.00,30.2,1.52,R,MR,1,1000000 M$,180,0,Yes,No,No,No,No,No
Chevrolet,Corvette C7.R,77.6,322,2.90,26.2,1.78,R,FR,1,650 Gold,285,1990,Yes,No,No,No,No,No
Dodge,Charger R/T,8.4,235,5.20,34.7,0.82,P,F4,1,36495 R$,10,467,Yes,No,Yes,No,No,No
Dodge,Challenger R/T,12.2,274,5.00,34.1,0.89,P,FR,3,43595 R$,25,532,Yes,No,Yes,No,No,No
Dodge,Charger SRT8,14.5,282,4.80,36.6,0.88,P,FR,3,46250 R$,25,552,Yes,No,Yes,No,No,No
Dodge,Challenger SRT8,17.2,274,4.50,34.7,0.92,P,FR,2,51400 R$,35,592,Yes,No,Yes,No,No,No
Dodge,Challenger RT (1971),0.2,204,7.00,47.2,0.73,P,FR,2,81000 R$,65,757,Yes,No,Yes,No,No,No
Dodge,Viper SRT10 Coupe,36.7,325,3.80,31.7,1.06,S,FR,3,108820 R$,80,862,Yes,No,Yes,No,No,No
Dodge,Charger RT (1969),1.9,211,6.45,48.2,0.72,P,FR,3,120000 R$,90,897,Yes,No,Yes,No,No,No
Dodge,Challenger SRT Hellcat,36.5,320,3.60,33.2,0.94,P,FR,4,275 Gold,105,980,Yes,Yes,No,Yes,No,No
Dodge,Viper SRT10 ACR-X,44.6,298,3.30,29.9,1.08,R,FR,3,214950 R$,125,1110,Yes,No,Yes,Yes,No,No
Duqueine,D08 LMP3,78.5,290,3.35,29.0,1.69,R,MR,1,2750000 M$,180,0,Yes,No,No,No,No,No
Ferrari,F40,37.3,323,3.80,36.3,1.10,S,MR,3,375000 R$,165,1310,Yes,No,Yes,No,No,No
Ferrari,Testarossa,20.3,290,5.20,32.3,1.01,S,RR,3,250 Gold,180,1367,Yes,Yes,No,No,No,No
Ferrari,F50,38.3,312,3.70,37.2,1.15,S,MR,2,160 Gold,180,1415,Yes,No,Yes,No,No,No
Ferrari,F430,36.6,315,3.90,32.0,1.02,S,RR,1,350 Gold,180,1422,Yes,No,No,No,No,No
Ferrari,FF,38.3,335,3.70,33.5,1.00,S,R4,2,585000 R$,190,1470,Yes,No,Yes,No,No,No
Ferrari,458 Spider,42.0,320,3.40,32.0,1.01,S,MR,3,610000 R$,195,1487,Yes,No,Yes,No,Yes,No
Ferrari,500 TRC,4.1,245,5.70,39.6,0.98,R,FR,1,300 Gold,180,1535,Yes,No,No,No,No,No
Ferrari,458 Italia,43.0,325,3.40,32.0,1.03,S,RR,4,720000 R$,205,1545,Yes,No,Yes,No,Yes,No
Ferrari,J50,48.9,327,2.90,31.7,1.04,S,RR,2,450 Gold,180,1585,Yes,No,No,No,Yes,Yes
Ferrari,599 GTO,47.4,335,3.20,31.4,1.06,S,FR,2,300 Gold,215,1592,Yes,No,Yes,No,No,No
Ferrari,F12Berlinetta,48.8,340,3.10,31.1,1.05,S,RR,3,320 Gold,215,1822,Yes,No,Yes,No,No,No
Ferrari,360 Modena,28.6,296,4.30,33.5,0.99,S,MR,1,350 Gold,180,1627,Yes,No,No,No,No,No
Ferrari,F12TDF,53.0,340,2.90,30.5,1.10,S,FR,2,720 Gold,225,1665,Yes,Yes,No,No,Yes,No
Ferrari,250 GTO,16.2,280,5.40,34.1,1.02,R,FR,1,1150000 M$,180,0,Yes,No,No,No,No,No
Ferrari,812 Superfast,55.0,356,2.90,30.5,1.12,S,FR,3,600 Gold,180,1800,Yes,Yes,No,Yes,No,Yes
Ferrari,F40 LM,63.3,369,3.00,29.6,1.35,R,MR,2,800 Gold,180,1812,Yes,Yes,No,Yes,No,No
Ferrari,Enzo Ferrari,45.2,354,3.50,31.7,1.05,S,MR,5,1550000 R$,255,1822,Yes,Yes,Yes,No,Yes,No
Ferrari,Monza SP1,50.4,299,2.90,32.0,1.16,S,FR,1,750 Gold,260,1835,Yes,Yes,No,No,Yes,No
Ferrari,412 T2,98.5,338,2.15,17.7,3.10,R,MR(MHD),1,950 Gold,275,1915,Yes,No,No,No,No,No
Ferrari,F8 Tributo,55.6,340,2.80,28.7,1.10,S,MR,4,750 Gold,180,1915,Yes,Yes,No,Yes,Yes,No
Ferrari,488 GTE (2016),78.0,330,2.86,26.2,1.76,R,FR,1,650 Gold,285,1990,Yes,No,No,No,No,Yes
Ferrari,488 GT3,65.2,277,3.07,29.3,1.65,R,MR,2,750 Gold,180,1990,Yes,Yes,No,Yes,No,No
Ferrari,296 GTB,63.0,330,2.70,28.0,1.30,S,MR,2,850 Gold,285,1990,Yes,Yes,No,No,Yes,No
Ferrari,SF90 XX Stradale,79.8,346,1.90,27.4,1.50,S,M4,2,900 Gold,180,1997,Yes,Yes,No,No,No,No
Ferrari,F14 T,99.0,330,2.00,16.8,2.95,R,MR(MHD),3,1050 Gold,285,1997,Yes,Yes,Yes,No,Yes,No
Ferrari,488 GTE EVO (AF Corse),79.3,332,2.83,26.2,1.77,R,MR,1,680 Gold,180,1997,Yes,No,No,No,No,No
Ferrari,SF90 Stradale,74.0,340,2.00,27.4,1.37,S,M4,2,800 Gold,180,1997,Yes,No,No,No,Yes,No
Ferrari,499P,90.9,348,2.55,21.9,1.90,R,M4,2,2750000 M$,180,0,Yes,Yes,No,No,No,Yes
Ferrari,LaFerrari,66.0,349,2.90,27.7,1.40,S,MR,5,790 Gold,295,2037,Yes,Yes,Yes,No,Yes,No
Ferrari,FXX K,78.8,370,2.50,25.0,1.45,R,MR,2,950 Gold,180,2037,Yes,Yes,No,No,No,Yes
Ferrari,FXX K Evo,79.2,370,2.50,24.4,1.48,R,MR,3,980 Gold,180,2037,Yes,Yes,No,No,No,No
Ferrari,Daytona SP3,66.1,340,2.60,26.5,1.30,S,MR,2,850 Gold,180,2037,Yes,Yes,No,No,Yes,No
Ferrari,375 F1,52.6,278,2.90,29.0,1.20,R,FR(MHD),1,3600000 R$,310,2127,Yes,No,No,No,No,No
Ford,Focus RS,4.6,262,5.90,38.7,0.94,P,FF,4,33000 R$,4,432,Yes,No,Yes,No,Yes,No
Ford,Shelby GT500,27.5,290,4.20,32.6,1.00,P,FR,4,63100 R$,45,665,Yes,No,Yes,No,No,No
Ford,Mustang GT Premium,20.5,264,4.50,36.3,0.96,P,FR,5,125 Gold,75,832,Yes,No,Yes,No,No,No
Ford,GT (2005),38.4,330,3.60,33.2,0.92,S,MR,3,149500 R$,105,977,Yes,No,Yes,No,No,No
Ford,Shelby GT350R,43.6,314,3.45,32.3,1.10,S,FR,5,350 Gold,105,1192,Yes,No,No,No,No,No
Ford,GT FIA GT1,53.0,340,3.20,30.8,1.22,R,MR,2,374600 R$,165,1310,Yes,No,Yes,No,No,No
Ford,Focus ST,10.1,249,5.50,36.9,0.95,P,FF,1,150 Gold,4,1332,Yes,No,No,No,No,No
Ford,Fusion (NASCAR Academy),40.7,304,3.66,31.4,1.08,R,FR,1,400000 R$,20,342,No,No,No,No,No,No
Ford,Falcon FG X (2016),46.1,306,3.55,44.8,1.34,R,FR(RHD),1,600 Gold,195,1480,No,No,No,No,No,No
Ford,Falcon FG X (2017),48.8,307,3.56,44.8,1.42,R,FR(RHD),1,600 Gold,180,1510,No,No,No,No,No,No
Ford,Falcon FG X (2018),49.0,309,3.54,44.5,1.44,R,FR(RHD),2,600 Gold,180,1510,No,No,No,No,No,No
Ford,Fusion (Team Penske - 2015),44.1,319,3.62,30.5,1.11,S,FR,1,500 Gold,240,1560,No,No,No,No,No,No
Ford,Fusion (Team Penske - 2016),44.1,317,3.56,29.9,1.08,S,FR,1,500 Gold,180,1560,No,No,No,No,No,No
Ford,Fusion (Stewart-Haas Racing),43.5,322,3.50,30.5,1.02,S,FR,1,500 Gold,180,1560,No,No,No,No,No,No
Ford,Fusion (2018),43.8,322,3.50,29.9,1.04,R,FR,1,500 Gold,180,1560,No,No,No,No,No,No
Ford,Mustang (2019),45.7,325,3.50,30.2,1.10,R,FR,2,500 Gold,180,1560,No,No,No,No,No,No
Ford,Shelby GT500 (2020),46.9,290,3.40,28.6,1.15,S,FR,4,450 Gold,180,1585,Yes,Yes,No,Yes,No,No
Ford,Shelby GT350R R3 Spec,56.6,338,3.10,28.7,1.23,R,FR,1,450 Gold,180,1627,Yes,No,No,No,No,No
Ford,GT (2017),57.5,348,3.20,29.3,1.28,S,MR,3,500 Gold,180,1665,Yes,Yes,No,No,No,No
Ford,Mustang (Stewart-Haas Racing - 2020),43.8,293,3.49,29.9,1.11,R,FR,1,2150000 M$,180,0,No,No,No,No,No,No
Ford,Mustang (Team Penske - 2020),43.8,292,3.46,29.9,1.10,R,FR,1,2150000 M$,180,0,No,No,No,No,No,No
Ford,Mustang (Stewart-Haas Racing - 2021),45.4,296,3.46,29.3,1.13,R,FR,1,2150000 M$,180,0,No,No,No,No,No,No
Ford,Mustang (Team Penske - 2021),45.4,296,3.43,29.3,1.12,R,FR,1,2150000 M$,180,0,No,No,No,No,No,No
Ford,Mustang GT (2022),45.3,290,3.46,29.3,1.11,R,FR,1,2150000 M$,180,0,No,No,No,No,Yes,No
Ford,Mustang GT (2023),46.7,293,3.36,29.0,1.13,R,FR,1,2150000 M$,180,0,No,No,No,No,No,Yes
Ford,Mustang Dark Horse,46.2,267,4.10,31.7,1.07,R,FR,1,500 Gold,255,1812,Yes,Yes,No,No,No,Yes
Ford,Puma Rally1 Hybrid,42.9,193,2.60,30.0,1.36,R,F4,1,2250000 M$,260,0,No,No,No,No,No,No
Ford,GT Le Mans (2016),77.9,322,2.79,25.6,1.74,R,FR,1,650 Gold,285,1990,Yes,No,No,No,No,No
Ford,GT Le Mans (2019),79.2,323,2.77,25.6,1.76,R,MR,2,680 Gold,180,1997,Yes,Yes,No,No,No,No
Ford,Fusion (Richard Petty Motorsports),44.2,317,3.53,29.9,1.07,R,FR,1,3000000 R$,150,2062,No,No,No,No,No,No
Formula 1,Mercedes-AMG GT R F1 Safety Car,43.3,317,3.60,29.3,1.05,R,FR,1,500000 M$,180,0,Yes,No,No,No,No,No
Formula 1,F1 Debut Car,110.3,306,2.15,18.3,3.00,R,MR,2,0 M$,180,0,Yes,No,No,No,No,No
Formula 1,Renault F1 Team R.S. 19,115.7,314,2.02,17.7,3.01,R,MR,2,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Red Bull Racing RB15,115.8,311,2.05,17.4,3.05,R,MR,2,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Toro Rosso STR14,115.7,311,2.07,17.4,3.02,R,MR,2,2000000 M$,180,0,Yes,No,No,No,No,No
Formula 1,Scuderia Ferrari SF90,115.8,314,2.01,17.1,3.04,R,MR,2,2000000 M$,180,0,Yes,No,No,No,No,No
